time,/jointset/shoulder0/elv_angle/value,/jointset/shoulder1/shoulder_elv/value,/jointset/shoulder2/shoulder_rot/value,/jointset/elbow/elbow_flexion/value,/jointset/radioulnar/pro_sup/value,/jointset/shoulder0/elv_angle/speed,/jointset/shoulder1/shoulder_elv/speed,/jointset/shoulder2/shoulder_rot/speed,/jointset/elbow/elbow_flexion/speed,/jointset/radioulnar/pro_sup/speed,x,z,/tau_elv_angle,/tau_shoulder_elv,/tau_shoulder_rot,/tau_elbow_flexion,/tau_pro_sup
0.046666667,0.379790464,0.46021428,0.217112641,1.547694743,0.502306642,1.622732821,0.596112159,3.333200744,1.916938368,-10.54194576,0.454432,0.207766,0.269675574,0.066119735,-0.057614802,-0.002375891,-0.007186641
0.0525,0.38996057,0.463708587,0.236087254,1.557222237,0.422649087,1.861188978,0.600397379,3.079932401,1.427863013,-15.40374979,0.454432,0.207766,0.255714526,0.064926296,-0.055177496,0.009419547,-0.003913336
0.058333333,0.401469664,0.467200969,0.251966619,1.565265849,0.338526668,2.081814365,0.595452431,2.271972696,1.40817859,-12.07275602,0.454432,0.207766,0.241753478,0.063732857,-0.05274019,0.021214985,-0.000640031
0.064166667,0.414215658,0.470664217,0.262485864,1.573693797,0.284973962,2.285514108,0.594636953,1.408362212,1.454771438,-7.078597253,0.454432,0.207766,0.225873089,0.063852199,-0.046872322,0.017439612,-0.002347414
0.07,0.428102186,0.474169785,0.269257772,1.581927475,0.246721404,2.47285434,0.609962429,0.98717161,1.341571796,-6.826990524,0.454432,0.207766,0.209992699,0.063971542,-0.041004454,0.013664239,-0.004054798
0.075833333,0.443034566,0.477798919,0.274328552,1.589396782,0.203026123,2.644232034,0.634886356,0.734763904,1.239050042,-7.781973202,0.454432,0.207766,0.195561891,0.063353405,-0.036336887,0.017653687,-0.003026849
0.081666667,0.458921377,0.481583493,0.277636145,1.596613084,0.160274934,2.800087457,0.663256067,0.382650393,1.25482699,-6.503301365,0.454432,0.207766,0.181131083,0.062735268,-0.03166932,0.021643136,-0.0019989
0.0875,0.475672479,0.485548493,0.278851147,1.604101408,0.128017427,2.940595998,0.697513806,0.059206806,1.31113179,-4.766938765,0.454432,0.207766,0.166697799,0.062595042,-0.027048345,0.022222167,-0.002387722
0.093333333,0.493198564,0.489736802,0.278621883,1.611892513,0.102204541,3.065796349,0.739819108,-0.112526753,1.358637901,-4.293717006,0.454432,0.207766,0.152264514,0.062454816,-0.02242737,0.022801198,-0.002776544
0.099166667,0.511411862,0.49419104,0.277684409,1.619977507,0.077201804,3.176487609,0.787976063,-0.208676839,1.417267429,-4.19813421,0.454432,0.207766,0.139185893,0.061880765,-0.019062058,0.023907729,-0.002408555
